"Method","Path","Status","Location","Error"
"GET","/super_admin/account","200",,""
"POST","/register","422","","The remote server returned an error: (422) Unprocessable Entity."
"POST","/logout","200",,""
"POST","/forgot-password",,"","The request was aborted: The connection was closed unexpectedly."
"POST","/verify-otp","404","","The remote server returned an error: (404) Not Found."
"GET","/super_admin/clients","200",,""
"GET","/super_admin/companies","200",,""
"GET","/super_admin/companies/stats","200",,""
"GET","/client/companies","200",,""
"POST","/client/companies/1/join","200",,""
"GET","/super_admin/requests","200",,""
"GET","/super_admin/requests/stats","404","","The remote server returned an error: (404) Not Found."
"POST","/super_admin/requests/1/approve","200",,""
"POST","/super_admin/requests/1/reject","200",,""
"GET","/super_admin/contracts","200",,""
"GET","/super_admin/contracts/stats","200",,""
"GET","/super_admin/conversations","200",,""
"GET","/super_admin/currencies","200",,""
"GET","/super_admin/dashboard","200",,""
"GET","/super_admin/developments","200",,""
"GET","/super_admin/employees","200",,""
"GET","/super_admin/employees/company-data","200",,""
"GET","/super_admin/availbale-user","404","","The remote server returned an error: (404) Not Found."
"GET","/super_admin/available-user","404","","The remote server returned an error: (404) Not Found."
"GET","/super_admin/invoices","200",,""
"GET","/super_admin/invoices/stats","200",,""
"GET","/super_admin/kpis","200",,""
"GET","/super_admin/kpis/filters","200",,""
"GET","/super_admin/kpis/trends","200",,""
"GET","/super_admin/meetings","200",,""
"GET","/super_admin/meetings/1","200",,""
"POST","/super_admin/meetings","200",,""
"POST","/super_admin/meetings/1/start","200",,""
"POST","/super_admin/meetings/1/end","200",,""
"GET","/super_admin/meetings/1/invitations","200",,""
"POST","/super_admin/meetings/1/invitations","200",,""
"GET","/super_admin/meetings/1/participants","200",,""
"POST","/super_admin/meetings/1/join","200",,""
"POST","/super_admin/meeting-participants/1/leave","200",,""
"GET","/super_admin/meetings/1/messages","200",,""
"POST","/super_admin/meetings/1/messages","200",,""
"GET","/super_admin/meetings/1/polls","200",,""
"POST","/super_admin/meetings/1/polls","200",,""
"POST","/super_admin/meeting-polls/1/vote","200",,""
"POST","/super_admin/meeting-polls/1/close","200",,""
"GET","/super_admin/meetings/1/whiteboard","200",,""
"PUT","/super_admin/meetings/1/whiteboard",,"","The request was aborted: The connection was closed unexpectedly."
"POST","/super_admin/meetings/1/whiteboard/undo","200",,""
"POST","/super_admin/meetings/1/whiteboard/redo","200",,""
"POST","/super_admin/meetings/1/whiteboard/clear","200",,""
"POST","/super_admin/meetings/1/whiteboard/lock","200",,""
"POST","/super_admin/meetings/1/whiteboard/unlock","200",,""
"POST","/super_admin/meetings/1/media-token","200",,""
"POST","/super_admin/meetings/1/media/join","200",,""
"POST","/super_admin/meetings/1/media/leave","200",,""
"GET","/super_admin/meetings/1/notes","200",,""
"POST","/super_admin/meetings/1/notes","200",,""
"GET","/super_admin/meeting-notes/1","200",,""
"GET","/super_admin/meetings/1/decisions","200",,""
"POST","/super_admin/meetings/1/decisions","200",,""
"POST","/super_admin/meeting-decisions/1/approve","200",,""
"GET","/super_admin/meetings/1/action-items","200",,""
"POST","/super_admin/meetings/1/action-items","200",,""
"POST","/super_admin/meeting-action-items/1/complete","200",,""
"GET","/super_admin/payments","200",,""
"GET","/super_admin/profile","404","","The remote server returned an error: (404) Not Found."
"GET","/super_admin/projects","200",,""
"GET","/super_admin/roles","200",,""
"GET","/super_admin/sprints","200",,""
"GET","/super_admin/tasks","200",,""
"GET","/super_admin/timesheets","200",,""
"GET","/super_admin/wallet-transactions","404","","The remote server returned an error: (404) Not Found."
"GET","/super_admin/wallets","200",,""
